recipient_key	recipient_name	parent_name	candidate_ticker	basis
58465eb6-2fbe-cf76-0826-be3fa0af837b-C	SIKORSKY SUPPORT SERVICES INC	RTX CORP	RTX	parent-name
5ad7895c-192b-21cd-8baf-92c6dce0b593-C	LOCKHEED MARTIN CORPORATION		LMT	own-name
5b3db994-356c-dd09-c567-c688e10ac628-C	GOODRICH CORPORATION	RTX CORP	RTX	parent-name
5d3f395a-6b3c-bba7-ee28-21685a44fed4-C	RLJ III - EM WEST PALM BEACH LESSEE, LLC	RLJ LODGING TRUST	RLJ	parent-name
5daa87a2-241b-06ff-9438-17a3957c57cd-C	LOCKHEED MARTIN GLOBAL, INC.	LOCKHEED MARTIN CORP	LMT	parent-name
5e095ef9-a461-36e2-8a63-2c89a2f13900-C	SYSCO CORP		SYY	own-name
5e62d7b1-b71e-8283-8703-1391e3c4d6a0-C	UNITED PARCEL SERVICE, INC.		UPS	own-name
5e6a1f1c-4805-89b3-1dd7-4f7d61a9e8e2-C	CANON U.S.A., INC.	CANON INC.	CAJPY	parent-name
5efd1069-d7f9-0bc5-33e7-ab8fcbbe9cf9-C	SYNOPSYS, INC.		SNPS	own-name
6035ac32-2b3f-238d-e1a6-17d8befa32b1-C	FLUOR ENTERPRISES, INC.		FLR	own-name
62c486be-b101-ea2f-e0c1-4f3bf00a305b-C	HONEYWELL INTERNATIONAL INC.		HON	own-name
62e141b3-4887-5b39-6b75-eace9326395c-C	RTX CORPORATION		RTX	own-name
6375e792-cbcd-e4ee-a325-2b1d72995cd6-C	STRYKER SALES, LLC	STRYKER CORPORATION	SYK	parent-name
645df5f2-66e3-8d2b-a612-3bff6ed3da30-C	AMAZON WEB SERVICES, INC.	AMAZON.COM, INC.	AMZN	parent-name
64f84c6a-3ec2-0244-a2e5-bcc7e4a5a2ca-C	AMERICAN SYSTEMS CORPORATION		AIG	own-name
65785d90-d79f-6121-31ae-04c65ee4f318-C	STRYKER SALES, LLC	STRYKER CORPORATION	SYK	parent-name
6733d324-9431-4347-c402-8bde64bd97e3-C	LINDE ADVANCED MATERIAL TECHNOLOGIES INC.	LINDE INC.	LIN	parent-name
67427090-de5a-3f91-7f50-f1c349c27dda-C	LINDE ENGINEERING NORTH AMERICA LLC	LINDE NORTH AMERICA  INC.	LIN	parent-name
681621e2-199c-1489-ce07-823b2d82bf16-C	GOODRICH CORPORATION	RTX CORP	RTX	parent-name
6886d17f-6f9c-740a-e4ed-1a5f341492cb-C	AZENTA US INC		AZTA	own-name
69204f07-d0a2-c645-1397-00236971fd4d-C	INTERNATIONAL BUSINESS MACHINES CORPORATION		IBM	own-name
6920a0c2-36ca-bd03-b598-32666c18626a-C	SPRINT COMMUNICATIONS CO LP	T-MOBILE US, INC.	TMUS	parent-name
696895eb-eafd-64e3-b141-4770efb62355-C	VERTIV SERVICES, INC.		VRT	own-name
6adada2e-4561-37a5-c532-75894b663e2b-C	ADVANTEST AMERICA, INC		ATEYY	own-name
6cf5fb1b-4988-d087-5dc1-70939d8fc6c4-C	LOCKHEED MARTIN CORPORATION		LMT	own-name
6d4d60f0-b0bb-dc2c-4a48-e9d65476777d-C	JACK HENRY & ASSOCIATES, INC.		JKHY	own-name
6d5f1e92-54d4-ad95-ef75-de5fb31bc593-C	TELEFLEX LLC		TFX	own-name
6e7a895c-aa57-8600-2a8a-4e237f6213f6-C	LOCKHEED MARTIN CORP		LMT	own-name
6ecb6057-9c32-243d-af06-5c0f5583e83f-C	COMCAST CABLE COMMUNICATIONS, LLC	COMCAST CORPORATION	CMCSA	parent-name
6eda3ee1-f612-3b12-8ada-a920384dd80b-C	JOHNSON CONTROLS GOVERNMENT SYSTEMS, LLC	JOHNSON CONTROLS, INC.	JCI	parent-name
6f092509-207f-6c70-3116-f871ddf4fde6-C	SIRCHIE ACQUISITION CO LLC	RAYMOND JAMES FINANCIAL  INC.	RJF	parent-name
6f82dd8b-4c28-12ab-8d02-6e7f207dad8b-C	BRANTNER AND ASSOCIATES, INC.	TE CONNECTIVITY LTD.	TEL	parent-name
6ffc4386-853e-ef89-67e8-22c28ddcf15c-C	INTERNATIONAL BUSINESS MACHINES CORPORATION		IBM	own-name
